과밀지수(밀집도),관리년월,대분류명,상권명칭,상권번호,중분류명
1.2525,2017-01,소매,국회의사당역_1,2057,가전제품소매
1.2676,2017-01,소매,부산 북구 덕천역_2,491,가전제품소매
0.7148,2017-01,소매,고성군청,198,가전제품소매
0.6181,2017-01,소매,북창동,2195,가전제품소매
1.7119,2017-01,소매,부산 영도구 남항동_5,224,가전제품소매
0.8309,2017-01,소매,경북 경산시 진량읍_2,963,가전제품소매
1.0319,2017-01,소매,대전 시청역_2,1224,가전제품소매
1.3470,2017-01,소매,제주 서귀포시 대정읍_1,1,가전제품소매
0.7095,2017-01,소매,연수역_2,1689,가전제품소매
1.2843,2017-01,소매,은마아파트입구사거리_3,1902,가전제품소매
0.7997,2017-01,소매,왕십리역_2,2184,가전제품소매
0.6915,2017-01,소매,송탄중앙시장,1443,가전제품소매
0.4159,2017-01,소매,서울 강동구 천호역_2,2110,가전제품소매
1.5465,2017-01,소매,전남 목포시 하당동_2,116,가전제품소매
1.9771,2017-01,소매,수지구청_2,1573,가전제품소매
1.8464,2017-01,소매,서울 서대문구 서대문역,2208,가전제품소매
1.9861,2017-01,소매,경인교대입구역_2,2112,가전제품소매
0.7106,2017-01,소매,중앙시장,2430,가전제품소매
0.9540,2017-01,소매,중앙로역_2,931,가전제품소매
6.2058,2017-01,소매,경북 김천시 자산동_3,1134,가전제품소매
0.7935,2017-01,소매,동송시외버스공용터미널,2424,가전제품소매
0.2237,2017-01,소매,중앙역_2,250,가전제품소매
0.2004,2017-01,소매,제주 제주시 연동_4,9,가전제품소매
1.1852,2017-01,소매,삼미시장,1708,가전제품소매
0.5887,2017-01,소매,청평시외버스터미널,2366,가전제품소매
1.4962,2017-01,소매,서울 강동구 둔촌동역,2048,가전제품소매
0.3705,2017-01,소매,남해군청,140,가전제품소매
4.9334,2017-01,소매,전북 익산시 모현동_2,1024,가전제품소매
0.8276,2017-01,소매,부산 해운대구 우1동_1,375,가전제품소매
1.7144,2017-01,소매,부산 해운대구 우1동_2,381,가전제품소매
0.6839,2017-01,소매,군위군법원,1182,가전제품소매
0.2712,2017-01,소매,횡성군청,2481,가전제품소매
0.2048,2017-01,소매,경북 경주시 안강읍_2,1070,가전제품소매
0.3369,2017-01,소매,고현시외버스터미널,153,가전제품소매
0.1832,2017-01,소매,홍천군법원,2488,가전제품소매
1.1104,2017-01,소매,미아사거리_2,2280,가전제품소매
0.7833,2017-01,소매,성당못역,830,가전제품소매
0.6873,2017-01,소매,부산 해운대구 해운대역_1,386,가전제품소매
0.9925,2017-01,소매,강원도삼척의료원,2483,가전제품소매
0.9714,2017-01,소매,경북 안동시 옥동_1,1273,가전제품소매
0.2939,2017-01,소매,전남 나주시 금남동_2,206,가전제품소매
0.4513,2017-01,소매,금남로5가역_2,363,가전제품소매
0.6957,2017-01,소매,고창공용버스터미널,641,가전제품소매
0.5799,2017-01,소매,서울 서초구 방배역,1827,가전제품소매
0.5647,2017-01,소매,탄현역_2,2358,가전제품소매
3.0188,2017-01,소매,서울 강북구 미아삼거리역_1,2285,가전제품소매
3.1309,2017-01,소매,구로디지털단지역,1809,가전제품소매
0.3871,2017-01,소매,경북 영주시 하망동_1,1368,가전제품소매
0.2881,2017-01,소매,양양군청,2444,가전제품소매
0.3153,2017-01,소매,서울 강남구 역삼역_2,1928,가전제품소매
2.9573,2017-01,소매,경북 구미시 형곡1동_1,1131,가전제품소매
0.4200,2017-01,소매,서산시청,1343,가전제품소매
0.4504,2017-01,소매,서울 광진구 건대입구역_2,2120,가전제품소매
0.2553,2017-01,소매,부산 동구 범일동역_2,308,가전제품소매
0.5345,2017-01,소매,대구 북구 태전1동_1,1005,가전제품소매
0.3561,2017-01,소매,부산 사하구 괴정역_3,234,가전제품소매
0.6308,2017-01,소매,경북 구미시 선주원남동_5,1170,가전제품소매
0.9626,2017-01,소매,전북 익산시 모현동_2,1024,가전제품소매
