시도,시군구,업종대분류,분류,업종중분류,업종소분류,건수
서울특별시,서초구,학문/교육,학원,음악미술무용,/바이올린/기타,181
서울특별시,서초구,학문/교육,학원,음악미술무용,국악,2
서울특별시,성동구,학문/교육,학원,음악미술무용,/바이올린/기타,71
서울특별시,성동구,학문/교육,학원,음악미술무용,국악,2
서울특별시,성북구,학문/교육,학원,음악미술무용,/바이올린/기타,121
서울특별시,성북구,학문/교육,학원,음악미술무용,국악,4
서울특별시,송파구,학문/교육,학원,음악미술무용,/바이올린/기타,155
서울특별시,송파구,학문/교육,학원,음악미술무용,국악,5
서울특별시,양천구,학문/교육,학원,음악미술무용,/바이올린/기타,112
서울특별시,양천구,학문/교육,학원,음악미술무용,국악,4
서울특별시,영등포구,학문/교육,학원,음악미술무용,/바이올린/기타,98
서울특별시,영등포구,학문/교육,학원,음악미술무용,국악,1
서울특별시,용산구,학문/교육,학원,음악미술무용,/바이올린/기타,53
서울특별시,용산구,학문/교육,학원,음악미술무용,국악,1
서울특별시,은평구,학문/교육,학원,음악미술무용,/바이올린/기타,78
서울특별시,종로구,학문/교육,학원,음악미술무용,/바이올린/기타,41
서울특별시,종로구,학문/교육,학원,음악미술무용,국악,4
서울특별시,중구,학문/교육,학원,음악미술무용,/바이올린/기타,41
서울특별시,중구,학문/교육,학원,음악미술무용,국악,1
서울특별시,중랑구,학문/교육,학원,음악미술무용,/바이올린/기타,104
서울특별시,중랑구,학문/교육,학원,음악미술무용,국악,1
서울특별시,강남구,학문/교육,학원,예능취미체육,가요,7
서울특별시,강남구,학문/교육,학원,음악미술무용,무용,25
서울특별시,강남구,학문/교육,학원,예능취미체육,배우/탤런트,27
서울특별시,강동구,학문/교육,학원,예능취미체육,가요,3
서울특별시,강동구,학문/교육,학원,음악미술무용,무용,15
서울특별시,강동구,학문/교육,학원,예능취미체육,배우/탤런트,4
서울특별시,강서구,학문/교육,학원,예능취미체육,가요,1
서울특별시,강서구,학문/교육,학원,음악미술무용,무용,6
서울특별시,강서구,학문/교육,학원,예능취미체육,배우/탤런트,3
서울특별시,관악구,학문/교육,학원,예능취미체육,가요,2
서울특별시,관악구,학문/교육,학원,음악미술무용,무용,8
서울특별시,관악구,학문/교육,학원,예능취미체육,배우/탤런트,1
서울특별시,광진구,학문/교육,학원,예능취미체육,가요,5
서울특별시,광진구,학문/교육,학원,음악미술무용,무용,14
서울특별시,광진구,학문/교육,학원,예능취미체육,배우/탤런트,6
서울특별시,구로구,학문/교육,학원,예능취미체육,가요,3
서울특별시,구로구,학문/교육,학원,음악미술무용,무용,1
서울특별시,구로구,학문/교육,학원,예능취미체육,배우/탤런트,1
서울특별시,금천구,학문/교육,학원,음악미술무용,무용,3
서울특별시,노원구,학문/교육,학원,음악미술무용,무용,2
서울특별시,도봉구,학문/교육,학원,음악미술무용,무용,3
서울특별시,동대문구,학문/교육,학원,예능취미체육,가요,3
서울특별시,동대문구,학문/교육,학원,음악미술무용,무용,3
서울특별시,동작구,학문/교육,학원,음악미술무용,무용,2
서울특별시,동작구,학문/교육,학원,예능취미체육,배우/탤런트,1
서울특별시,마포구,학문/교육,학원,예능취미체육,가요,1
서울특별시,마포구,학문/교육,학원,음악미술무용,무용,3
서울특별시,마포구,학문/교육,학원,예능취미체육,배우/탤런트,6
서울특별시,서대문구,학문/교육,학원,음악미술무용,무용,2
서울특별시,서대문구,학문/교육,학원,예능취미체육,배우/탤런트,1
서울특별시,서초구,학문/교육,학원,예능취미체육,가요,4
서울특별시,서초구,학문/교육,학원,음악미술무용,무용,15
서울특별시,서초구,학문/교육,학원,예능취미체육,배우/탤런트,10
서울특별시,성동구,학문/교육,학원,예능취미체육,가요,1
서울특별시,성동구,학문/교육,학원,음악미술무용,무용,4
서울특별시,성동구,학문/교육,학원,예능취미체육,배우/탤런트,3
서울특별시,성북구,학문/교육,학원,예능취미체육,가요,2
서울특별시,성북구,학문/교육,학원,음악미술무용,무용,9
서울특별시,성북구,학문/교육,학원,예능취미체육,배우/탤런트,1
서울특별시,송파구,학문/교육,학원,예능취미체육,가요,1
서울특별시,송파구,학문/교육,학원,음악미술무용,무용,18
서울특별시,송파구,학문/교육,학원,예능취미체육,배우/탤런트,8
서울특별시,양천구,학문/교육,학원,예능취미체육,가요,1
서울특별시,양천구,학문/교육,학원,음악미술무용,무용,12
서울특별시,양천구,학문/교육,학원,예능취미체육,배우/탤런트,6
서울특별시,영등포구,학문/교육,학원,음악미술무용,무용,10
서울특별시,영등포구,학문/교육,학원,예능취미체육,배우/탤런트,1
서울특별시,용산구,학문/교육,학원,예능취미체육,가요,1
서울특별시,용산구,학문/교육,학원,음악미술무용,무용,4
서울특별시,용산구,학문/교육,학원,예능취미체육,배우/탤런트,1
서울특별시,은평구,학문/교육,학원,음악미술무용,무용,2
서울특별시,종로구,학문/교육,학원,예능취미체육,가요,2
서울특별시,종로구,학문/교육,학원,음악미술무용,무용,5
서울특별시,중구,학문/교육,학원,예능취미체육,가요,3
서울특별시,중구,학문/교육,학원,음악미술무용,무용,5
서울특별시,중랑구,학문/교육,학원,음악미술무용,무용,2
서울특별시,중랑구,학문/교육,학원,예능취미체육,배우/탤런트,1
